,index,origin,"country Code, national number",E164 format
153,13166,+353 (288) 898-2604,Country Code: 353 National Number: 2888982604,+3532888982604
154,13168,+850 (997) 129-1668,Country Code: 850 National Number: 9971291668,+8509971291668
155,13170,+81 (686) 909-9717,Country Code: 81 National Number: 6869099717,+816869099717
156,13171,+212 (611) 926-1981,Country Code: 212 National Number: 6119261981,+2126119261981
157,13172,+82 (799) 712-1225,Country Code: 82 National Number: 7997121225,+827997121225
158,13174,+381 (152) 877-4539,Country Code: 381 National Number: 1528774539,+3811528774539
159,13175,+7 (582) 551-1212,Country Code: 7 National Number: 5825511212,+75825511212
160,13176,+420 (857) 174-2822,Country Code: 420 National Number: 8571742822,+4208571742822
161,13177,+221 (602) 977-0116,Country Code: 221 National Number: 6029770116,+2216029770116
162,13178,+86 (324) 773-4609,Country Code: 86 National Number: 3247734609,+863247734609
163,13179,+385 (622) 279-7909,Country Code: 385 National Number: 6222797909,+3856222797909
164,13180,+86 (466) 814-9085,Country Code: 86 National Number: 4668149085,+864668149085
165,13181,+7 (396) 828-6933,Country Code: 7 National Number: 3968286933,+73968286933
166,13182,+92 (482) 628-0488,Country Code: 92 National Number: 4826280488,+924826280488
167,13183,+234 (233) 253-3534,Country Code: 234 National Number: 2332533534,+2342332533534
168,13184,+353 (828) 721-1260,Country Code: 353 National Number: 8287211260,+3538287211260
169,13185,+86 (135) 462-0674,Country Code: 86 National Number: 1354620674,+861354620674
170,13186,+63 (587) 168-5907,Country Code: 63 National Number: 5871685907,+635871685907
171,13187,+63 (628) 738-4379,Country Code: 63 National Number: 6287384379,+636287384379
172,13188,+7 (574) 833-6434,Country Code: 7 National Number: 5748336434,+75748336434
173,13189,+33 (354) 127-1267,Country Code: 33 National Number: 3541271267,+333541271267
174,13190,+357 (922) 656-0061,Country Code: 357 National Number: 9226560061,+3579226560061
175,13191,+46 (738) 681-6702,Country Code: 46 National Number: 7386816702,+467386816702
176,13192,+86 (138) 617-6097,Country Code: 86 National Number: 1386176097,+861386176097
177,13193,+63 (280) 768-9447,Country Code: 63 National Number: 2807689447,+632807689447
178,13194,+7 (572) 316-9711,Country Code: 7 National Number: 5723169711,+75723169711
179,13195,+57 (848) 797-9394,Country Code: 57 National Number: 8487979394,+578487979394
180,13196,+504 (624) 678-5198,Country Code: 504 National Number: 6246785198,+5046246785198
181,13197,+976 (127) 582-3407,Country Code: 976 National Number: 1275823407,+9761275823407
182,13198,+7 (399) 174-8894,Country Code: 7 National Number: 3991748894,+73991748894
183,13199,+7 (912) 211-2791,Country Code: 7 National Number: 9122112791,+79122112791
184,13200,+63 (379) 796-6491,Country Code: 63 National Number: 3797966491,+633797966491
185,13201,+55 (979) 386-3954,Country Code: 55 National Number: 9793863954,+559793863954
186,13202,+86 (377) 702-2019,Country Code: 86 National Number: 3777022019,+863777022019
187,13203,+51 (970) 180-0594,Country Code: 51 National Number: 9701800594,+519701800594
188,13204,+63 (882) 923-9701,Country Code: 63 National Number: 8829239701,+638829239701
189,13205,+86 (779) 778-9081,Country Code: 86 National Number: 7797789081,+867797789081
190,13206,+7 (867) 188-3009,Country Code: 7 National Number: 8671883009,+78671883009
191,13207,+63 (121) 404-0896,Country Code: 63 National Number: 1214040896,+631214040896
192,13208,+86 (118) 432-1515,Country Code: 86 National Number: 1184321515,+861184321515
193,13209,+358 (185) 356-5546,Country Code: 358 National Number: 1853565546,+3581853565546
194,13210,+232 (497) 832-4071,Country Code: 232 National Number: 4978324071,+2324978324071
195,13211,+994 (302) 462-1928,Country Code: 994 National Number: 3024621928,+9943024621928
196,13212,+62 (913) 726-8281,Country Code: 62 National Number: 9137268281,+629137268281
197,13213,+420 (791) 430-1031,Country Code: 420 National Number: 7914301031,+4207914301031
198,13214,+34 (710) 265-9233,Country Code: 34 National Number: 7102659233,+347102659233
199,13215,+46 (932) 840-2073,Country Code: 46 National Number: 9328402073,+469328402073
200,13216,+1 (927) 292-5094,Country Code: 1 National Number: 9272925094,+19272925094
201,13217,+351 (311) 938-5927,Country Code: 351 National Number: 3119385927,+3513119385927
202,13218,+49 (857) 975-9555,Country Code: 49 National Number: 8579759555,+498579759555
203,13219,+351 (426) 904-7252,Country Code: 351 National Number: 4269047252,+3514269047252
204,13220,+383 (344) 372-9840,Country Code: 383 National Number: 3443729840,+3833443729840
205,13221,+93 (703) 335-0203,Country Code: 93 National Number: 7033350203,+937033350203
206,13222,+86 (596) 971-7725,Country Code: 86 National Number: 5969717725,+865969717725
207,13223,+86 (710) 139-4509,Country Code: 86 National Number: 7101394509,+867101394509
208,13224,+44 (555) 248-5006,Country Code: 44 National Number: 5552485006,+445552485006
209,13225,+48 (974) 103-4745,Country Code: 48 National Number: 9741034745,+489741034745
210,13226,+63 (188) 850-2908,Country Code: 63 National Number: 1888502908,+631888502908
211,13227,+63 (453) 697-9818,Country Code: 63 National Number: 4536979818,+634536979818
212,13228,+54 (372) 889-2664,Country Code: 54 National Number: 3728892664,+543728892664
213,13229,+7 (947) 320-0259,Country Code: 7 National Number: 9473200259,+79473200259
214,13230,+86 (590) 464-8993,Country Code: 86 National Number: 5904648993,+865904648993
215,13231,+81 (855) 208-7746,Country Code: 81 National Number: 8552087746,+818552087746
216,13232,+351 (931) 151-1686,Country Code: 351 National Number: 9311511686,+3519311511686
217,13233,+46 (673) 102-7831,Country Code: 46 National Number: 6731027831,+466731027831
218,13234,+93 (741) 475-4912,Country Code: 93 National Number: 7414754912,+937414754912
219,13235,+48 (608) 553-9236,Country Code: 48 National Number: 6085539236,+486085539236
220,13236,+507 (862) 614-8460,Country Code: 507 National Number: 8626148460,+5078626148460
221,13237,+420 (110) 847-5845,Country Code: 420 National Number: 1108475845,+4201108475845
222,13239,+98 (467) 348-2422,Country Code: 98 National Number: 4673482422,+984673482422
223,13240,+358 (836) 310-1430,Country Code: 358 National Number: 8363101430,+3588363101430
224,13241,+48 (768) 735-3401,Country Code: 48 National Number: 7687353401,+487687353401
225,13242,+970 (953) 190-0949,Country Code: 970 National Number: 9531900949,+9709531900949
226,13243,+86 (140) 889-5733,Country Code: 86 National Number: 1408895733,+861408895733
227,13244,+7 (330) 416-1909,Country Code: 7 National Number: 3304161909,+73304161909
228,13245,+86 (171) 262-3029,Country Code: 86 National Number: 1712623029,+861712623029
229,13246,+86 (316) 906-6586,Country Code: 86 National Number: 3169066586,+863169066586
230,13247,+62 (240) 579-2074,Country Code: 62 National Number: 2405792074,+622405792074
231,13248,+62 (929) 216-6446,Country Code: 62 National Number: 9292166446,+629292166446
232,13249,+351 (389) 201-2050,Country Code: 351 National Number: 3892012050,+3513892012050
233,13250,+1 (469) 910-1960,Country Code: 1 National Number: 4699101960,+14699101960
234,13251,+62 (330) 349-5158,Country Code: 62 National Number: 3303495158,+623303495158
235,13252,+7 (324) 927-5905,Country Code: 7 National Number: 3249275905,+73249275905
236,13253,+255 (888) 374-0881,Country Code: 255 National Number: 8883740881,+2558883740881
237,13254,+86 (632) 483-5466,Country Code: 86 National Number: 6324835466,+866324835466
238,13255,+55 (774) 767-6574,Country Code: 55 National Number: 7747676574,+557747676574
239,13257,+55 (819) 357-2657,Country Code: 55 National Number: 8193572657,+558193572657
240,13258,+51 (730) 402-1836,Country Code: 51 National Number: 7304021836,+517304021836
241,13259,+86 (978) 500-7509,Country Code: 86 National Number: 9785007509,+869785007509
242,13260,+351 (629) 798-4214,Country Code: 351 National Number: 6297984214,+3516297984214
243,13261,+963 (766) 136-6829,Country Code: 963 National Number: 7661366829,+9637661366829
244,13263,+86 (885) 847-6360,Country Code: 86 National Number: 8858476360,+868858476360
245,13264,+62 (585) 722-0952,Country Code: 62 National Number: 5857220952,+625857220952
246,13265,+351 (499) 215-6040,Country Code: 351 National Number: 4992156040,+3514992156040
247,13267,+57 (558) 884-4141,Country Code: 57 National Number: 5588844141,+575588844141
248,13269,+850 (395) 587-5826,Country Code: 850 National Number: 3955875826,+8503955875826
249,13270,+62 (759) 796-1814,Country Code: 62 National Number: 7597961814,+627597961814
250,13271,+86 (690) 899-9098,Country Code: 86 National Number: 6908999098,+866908999098
251,13272,+57 (341) 343-5362,Country Code: 57 National Number: 3413435362,+573413435362
252,13273,+86 (662) 283-0837,Country Code: 86 National Number: 6622830837,+866622830837
253,13274,+86 (457) 419-1503,Country Code: 86 National Number: 4574191503,+864574191503
254,13275,+229 (540) 639-9165,Country Code: 229 National Number: 5406399165,+2295406399165
255,13276,+86 (654) 124-2689,Country Code: 86 National Number: 6541242689,+866541242689
256,13277,+387 (993) 990-2265,Country Code: 387 National Number: 9939902265,+3879939902265
257,13278,+1 (701) 721-4588,Country Code: 1 National Number: 7017214588,+17017214588
258,13279,+62 (806) 541-4634,Country Code: 62 National Number: 8065414634,+628065414634
259,13280,+33 (216) 195-5385,Country Code: 33 National Number: 2161955385,+332161955385
260,13281,+7 (372) 195-2940,Country Code: 7 National Number: 3721952940,+73721952940
261,13282,+86 (140) 995-5892,Country Code: 86 National Number: 1409955892,+861409955892
262,13283,+380 (864) 506-8248,Country Code: 380 National Number: 8645068248,+3808645068248
263,13284,+33 (703) 915-4466,Country Code: 33 National Number: 7039154466,+337039154466
264,13285,+1 (316) 296-0391,Country Code: 1 National Number: 3162960391,+13162960391
265,13286,+52 (447) 599-3810,Country Code: 52 National Number: 4475993810,+524475993810
266,13287,+54 (515) 260-0040,Country Code: 54 National Number: 5152600040,+545152600040
267,13288,+63 (443) 464-4612,Country Code: 63 National Number: 4434644612,+634434644612
268,13289,+599 (881) 959-9334,Country Code: 599 National Number: 8819599334,+5998819599334
269,13290,+45 (192) 365-8487,Country Code: 45 National Number: 1923658487,+451923658487
270,13291,+58 (405) 811-6797,Country Code: 58 National Number: 4058116797,+584058116797
271,13292,+351 (476) 458-0120,Country Code: 351 National Number: 4764580120,+3514764580120
272,13293,+86 (133) 756-6079,Country Code: 86 National Number: 1337566079,+861337566079
273,13294,+55 (125) 723-0044,Country Code: 55 National Number: 1257230044,+551257230044
274,13295,+86 (626) 395-0654,Country Code: 86 National Number: 6263950654,+866263950654
275,13296,+54 (273) 425-3479,Country Code: 54 National Number: 2734253479,+542734253479
276,13297,+33 (222) 654-9060,Country Code: 33 National Number: 2226549060,+332226549060
277,13298,+86 (524) 160-3143,Country Code: 86 National Number: 5241603143,+865241603143
278,13299,+62 (979) 530-9650,Country Code: 62 National Number: 9795309650,+629795309650
279,13300,+86 (322) 140-0336,Country Code: 86 National Number: 3221400336,+863221400336
280,13301,+353 (700) 346-9379,Country Code: 353 National Number: 7003469379,+3537003469379
281,13302,+48 (362) 475-2476,Country Code: 48 National Number: 3624752476,+483624752476
282,13303,+62 (310) 256-5073,Country Code: 62 National Number: 3102565073,+623102565073
283,13304,+63 (689) 173-6217,Country Code: 63 National Number: 6891736217,+636891736217
284,13305,+92 (674) 172-1214,Country Code: 92 National Number: 6741721214,+926741721214
285,13306,+27 (316) 759-0181,Country Code: 27 National Number: 3167590181,+273167590181
286,13307,+52 (242) 300-3008,Country Code: 52 National Number: 2423003008,+522423003008
287,13308,+57 (844) 447-1584,Country Code: 57 National Number: 8444471584,+578444471584
288,13309,+62 (783) 519-8175,Country Code: 62 National Number: 7835198175,+627835198175
289,13310,+46 (892) 967-5650,Country Code: 46 National Number: 8929675650,+468929675650
290,13311,+299 (364) 720-4312,Country Code: 299 National Number: 3647204312,+2993647204312
291,13312,+86 (576) 335-8504,Country Code: 86 National Number: 5763358504,+865763358504
292,13313,+86 (476) 562-3877,Country Code: 86 National Number: 4765623877,+864765623877
293,13315,+86 (886) 298-2567,Country Code: 86 National Number: 8862982567,+868862982567
294,13316,+86 (680) 923-3863,Country Code: 86 National Number: 6809233863,+866809233863
295,13317,+52 (262) 807-9076,Country Code: 52 National Number: 2628079076,+522628079076
296,13318,+86 (111) 897-4049,Country Code: 86 National Number: 1118974049,+861118974049
297,13319,+52 (293) 598-8384,Country Code: 52 National Number: 2935988384,+522935988384
298,13320,+48 (350) 204-8465,Country Code: 48 National Number: 3502048465,+483502048465
299,13321,+380 (426) 648-0223,Country Code: 380 National Number: 4266480223,+3804266480223
300,13323,+593 (454) 968-7737,Country Code: 593 National Number: 4549687737,+5934549687737
301,13324,+62 (160) 690-5517,Country Code: 62 National Number: 1606905517,+621606905517
302,13325,+55 (904) 541-4922,Country Code: 55 National Number: 45414922,+5545414922
303,13326,+86 (648) 494-1612,Country Code: 86 National Number: 6484941612,+866484941612
304,13327,+62 (756) 229-7701,Country Code: 62 National Number: 7562297701,+627562297701
305,13328,+27 (346) 413-6888,Country Code: 27 National Number: 3464136888,+273464136888
306,13329,+62 (881) 806-8341,Country Code: 62 National Number: 8818068341,+628818068341
307,13330,+48 (435) 123-7887,Country Code: 48 National Number: 4351237887,+484351237887
308,13331,+62 (310) 244-1735,Country Code: 62 National Number: 3102441735,+623102441735
309,13332,+51 (581) 772-8973,Country Code: 51 National Number: 5817728973,+515817728973
310,13333,+385 (553) 588-4774,Country Code: 385 National Number: 5535884774,+3855535884774
311,13334,+64 (621) 252-9619,Country Code: 64 National Number: 6212529619,+646212529619
312,13335,+358 (311) 281-6159,Country Code: 358 National Number: 3112816159,+3583112816159
313,13336,+1 (602) 959-7223,Country Code: 1 National Number: 6029597223,+16029597223
314,13337,+55 (643) 670-9647,Country Code: 55 National Number: 6436709647,+556436709647
315,13338,+1 (225) 934-5624,Country Code: 1 National Number: 2259345624,+12259345624
316,13339,+48 (861) 720-3643,Country Code: 48 National Number: 8617203643,+488617203643
317,13340,+968 (250) 206-6905,Country Code: 968 National Number: 2502066905,+9682502066905
318,13341,+63 (996) 763-7899,Country Code: 63 National Number: 9967637899,+639967637899
319,13342,+7 (643) 185-0256,Country Code: 7 National Number: 6431850256,+76431850256
320,13343,+7 (458) 883-5182,Country Code: 7 National Number: 4588835182,+74588835182
321,13344,+86 (459) 166-4253,Country Code: 86 National Number: 4591664253,+864591664253
322,13345,+385 (763) 383-3424,Country Code: 385 National Number: 7633833424,+3857633833424
323,13346,+373 (334) 731-1801,Country Code: 373 National Number: 3347311801,+3733347311801
324,13347,+86 (372) 797-2113,Country Code: 86 National Number: 3727972113,+863727972113
325,13348,+962 (607) 815-8145,Country Code: 962 National Number: 6078158145,+9626078158145
326,13349,+62 (856) 354-4635,Country Code: 62 National Number: 8563544635,+628563544635
327,13350,+236 (259) 980-1982,Country Code: 236 National Number: 2599801982,+2362599801982
328,13351,+380 (630) 471-5421,Country Code: 380 National Number: 6304715421,+3806304715421
329,13352,+86 (490) 545-7378,Country Code: 86 National Number: 4905457378,+864905457378
330,13353,+592 (152) 571-7400,Country Code: 592 National Number: 1525717400,+5921525717400
331,13355,+48 (600) 502-0110,Country Code: 48 National Number: 6005020110,+486005020110
332,13356,+509 (534) 269-9766,Country Code: 509 National Number: 5342699766,+5095342699766
333,13357,+86 (711) 541-8117,Country Code: 86 National Number: 7115418117,+867115418117
334,13358,+269 (789) 167-7258,Country Code: 269 National Number: 7891677258,+2697891677258
335,13359,+63 (256) 621-6689,Country Code: 63 National Number: 2566216689,+632566216689
336,13360,+36 (917) 817-0022,Country Code: 36 National Number: 9178170022,+369178170022
337,13361,+62 (150) 142-8786,Country Code: 62 National Number: 1501428786,+621501428786
